No,year,month,day,hour,N,Q,A,TRI,OD
1,2021,1,1,0,31.70,390,9203.74,421,2.6
2,2021,1,1,1,31.57,390,9338.23,421,2.6
3,2021,1,1,2,31.39,390,9368.27,421,2.6
4,2021,1,1,3,31.27,390,9380.56,421,2.6
5,2021,1,1,4,31.20,390,9386.75,421,2.6
6,2021,1,1,5,31.15,390,9389.38,421,2.6
7,2021,1,1,6,31.11,390,9390.34,421,2.6
8,2021,1,1,7,31.08,390,9390.54,421,2.6
9,2021,1,1,8,31.06,390,9390.43,421,2.6
10,2021,1,1,9,31.04,390,9390.21,421,2.6
11,2021,1,1,10,31.02,390,9389.98,421,2.6
12,2021,1,1,11,31.00,390,9389.73,421,2.6
13,2021,1,1,12,30.99,390,9389.54,421,2.6
14,2021,1,1,13,30.98,390,9389.33,421,2.6
15,2021,1,1,14,30.97,390,9389.16,421,2.6
16,2021,1,1,15,30.96,390,9388.99,421,2.6
17,2021,1,1,16,30.96,390,9388.86,421,2.6
18,2021,1,1,17,30.95,390,9388.71,421,2.6
19,2021,1,1,18,30.95,390,9388.60,421,2.6
20,2021,1,1,19,30.94,390,9388.47,421,2.6
21,2021,1,1,20,30.94,390,9388.38,421,2.6
22,2021,1,1,21,30.93,390,9388.30,421,2.6
23,2021,1,1,22,30.93,390,9388.16,421,2.6
24,2021,1,1,23,30.92,390,9388.04,421,2.6
25,2021,1,2,0,30.92,390,9387.95,421,2.6
26,2021,1,2,1,30.92,390,9387.86,421,2.6
27,2021,1,2,2,30.92,390,9387.76,421,2.6
28,2021,1,2,3,30.91,390,9387.67,421,2.6
29,2021,1,2,4,30.91,390,9387.57,421,2.6
30,2021,1,2,5,30.91,390,9387.48,421,2.6
31,2021,1,2,6,30.91,390,9387.38,421,2.6
32,2021,1,2,7,30.91,390,9387.30,421,2.6
33,2021,1,2,8,30.90,390,9387.24,421,2.6
34,2021,1,2,9,30.90,390,9387.17,421,2.6
35,2021,1,2,10,30.90,390,9387.09,421,2.6
36,2021,1,2,11,30.90,390,9387.01,421,2.6
37,2021,1,2,12,30.90,390,9386.94,421,2.6
38,2021,1,2,13,30.90,390,9386.87,421,2.6
39,2021,1,2,14,30.89,390,9386.80,421,2.6
40,2021,1,2,15,30.89,390,9386.74,421,2.6
41,2021,1,2,16,30.89,390,9386.68,421,2.6
42,2021,1,2,17,30.89,390,9386.61,421,2.6
43,2021,1,2,18,30.89,390,9386.54,421,2.6
44,2021,1,2,19,30.89,390,9386.48,421,2.6
45,2021,1,2,20,30.89,390,9386.42,421,2.6
46,2021,1,2,21,30.89,390,9386.36,421,2.6
47,2021,1,2,22,30.89,390,9386.30,421,2.6
48,2021,1,2,23,30.89,390,9386.24,421,2.6
49,2021,1,3,0,30.89,390,9386.18,421,2.6
50,2021,1,3,1,30.88,390,9386.13,421,2.6
51,2021,1,3,2,30.88,390,9386.07,421,2.6
52,2021,1,3,3,30.88,390,9386.02,421,2.6
53,2021,1,3,4,30.88,390,9385.96,421,2.6
54,2021,1,3,5,30.88,390,9385.91,421,2.6
55,2021,1,3,6,30.88,390,9385.87,421,2.6
56,2021,1,3,7,30.88,390,9385.83,421,2.6
57,2021,1,3,8,30.88,390,9385.78,421,2.6
58,2021,1,3,9,30.88,390,9385.74,421,2.6
59,2021,1,3,10,30.88,390,9385.69,421,2.6
60,2021,1,3,11,30.88,390,9385.65,421,2.6
61,2021,1,3,12,30.88,390,9385.61,421,2.6
62,2021,1,3,13,30.88,390,9385.57,421,2.6
63,2021,1,3,14,30.88,390,9385.52,421,2.6
64,2021,1,3,15,30.88,390,9385.48,421,2.6
65,2021,1,3,16,30.88,390,9385.43,421,2.6
66,2021,1,3,17,30.88,390,9385.39,421,2.6
67,2021,1,3,18,30.88,390,9385.36,421,2.6
68,2021,1,3,19,30.88,390,9385.33,421,2.6
69,2021,1,3,20,30.88,390,9385.27,421,2.6
70,2021,1,3,21,30.88,390,9385.24,421,2.6
71,2021,1,3,22,30.87,390,9385.21,421,2.6
72,2021,1,3,23,30.87,390,9385.21,421,2.6
73,2021,1,4,0,30.84,390,7636.27,80,2.6
74,2021,1,4,1,30.93,390,8515.10,80,2.6
75,2021,1,4,2,31.89,390,8687.10,80,2.6
76,2021,1,4,3,32.70,390,8763.89,80,2.6
77,2021,1,4,4,33.10,390,8832.91,80,2.6
78,2021,1,4,5,33.32,390,8881.97,80,2.6
79,2021,1,4,6,33.46,390,8915.58,80,2.6
80,2021,1,4,7,33.55,390,8939.80,80,2.6
81,2021,1,4,8,33.60,390,8957.68,80,2.6
82,2021,1,4,9,33.64,390,8970.89,80,2.6
83,2021,1,4,10,33.66,390,8980.61,80,2.6
84,2021,1,4,11,33.68,390,8987.96,80,2.6
85,2021,1,4,12,33.69,390,8993.73,80,2.6
86,2021,1,4,13,33.70,390,8998.25,80,2.6
87,2021,1,4,14,33.71,390,9001.84,80,2.6
88,2021,1,4,15,33.71,390,9004.68,80,2.6
89,2021,1,4,16,33.72,390,9007.05,80,2.6
90,2021,1,4,17,33.73,390,9009.00,80,2.6
91,2021,1,4,18,33.74,390,9010.66,80,2.6
92,2021,1,4,19,33.74,390,9012.08,80,2.6
93,2021,1,4,20,33.75,390,9013.29,80,2.6
94,2021,1,4,21,33.76,390,9014.38,80,2.6
95,2021,1,4,22,33.77,390,9015.37,80,2.6
96,2021,1,4,23,33.78,390,9016.25,80,2.6
97,2021,1,5,0,33.79,390,9017.03,80,2.6
98,2021,1,5,1,33.80,390,9017.73,80,2.6
99,2021,1,5,2,33.81,390,9018.41,80,2.6
100,2021,1,5,3,33.82,390,9019.07,80,2.6
101,2021,1,5,4,33.82,390,9019.65,80,2.6
102,2021,1,5,5,33.83,390,9020.18,80,2.6
103,2021,1,5,6,33.84,390,9020.69,80,2.6
104,2021,1,5,7,33.85,390,9021.19,80,2.6
105,2021,1,5,8,33.86,390,9021.67,80,2.6
106,2021,1,5,9,33.87,390,9022.10,80,2.6
107,2021,1,5,10,33.88,390,9022.49,80,2.6
108,2021,1,5,11,33.88,390,9022.87,80,2.6
109,2021,1,5,12,33.89,390,9023.22,80,2.6
110,2021,1,5,13,33.90,390,9023.57,80,2.6
111,2021,1,5,14,33.91,390,9023.91,80,2.6
112,2021,1,5,15,33.92,390,9024.21,80,2.6
113,2021,1,5,16,33.92,390,9024.50,80,2.6
114,2021,1,5,17,33.93,390,9024.79,80,2.6
115,2021,1,5,18,33.94,390,9025.07,80,2.6
116,2021,1,5,19,33.95,390,9025.32,80,2.6
117,2021,1,5,20,33.95,390,9025.56,80,2.6
118,2021,1,5,21,33.96,390,9025.79,80,2.6
119,2021,1,5,22,33.97,390,9026.03,80,2.6
120,2021,1,5,23,33.97,390,9026.25,80,2.6
121,2021,1,6,0,33.98,390,9026.46,80,2.6
122,2021,1,6,1,33.99,390,9026.38,80,2.6
123,2021,1,6,2,33.99,390,9026.72,80,2.6
124,2021,1,6,3,34.00,390,9027.10,80,2.6
125,2021,1,6,4,34.00,390,9027.09,80,2.6
126,2021,1,6,5,34.01,390,9027.27,80,2.6
127,2021,1,6,6,34.02,390,9027.38,80,2.6
128,2021,1,6,7,34.02,390,9027.50,80,2.6
129,2021,1,6,8,34.03,390,9027.64,80,2.6
130,2021,1,6,9,34.03,390,9027.73,80,2.6
131,2021,1,6,10,34.04,390,9027.83,80,2.6
132,2021,1,6,11,34.04,390,9027.93,80,2.6
133,2021,1,6,12,34.05,390,9028.01,80,2.6
134,2021,1,6,13,34.06,390,9028.08,80,2.6
135,2021,1,6,14,34.06,390,9028.16,80,2.6
136,2021,1,6,15,34.07,390,9028.22,80,2.6
137,2021,1,6,16,34.07,390,9028.28,80,2.6
