DATE,N,Q,A,TRI,OD
2021-01-01 0:00:00,31.70,390,9203.74,421,2.6
2021-01-01 1:00:00,31.57,390,9338.23,421,2.6
2021-01-01 2:00:00,31.39,390,9368.27,421,2.6
2021-01-01 3:00:00,31.27,390,9380.56,421,2.6
2021-01-01 4:00:00,31.20,390,9386.75,421,2.6
2021-01-01 5:00:00,31.15,390,9389.38,421,2.6
2021-01-01 6:00:00,31.11,390,9390.34,421,2.6
2021-01-01 7:00:00,31.08,390,9390.54,421,2.6
2021-01-01 8:00:00,31.06,390,9390.43,421,2.6
2021-01-01 9:00:00,31.04,390,9390.21,421,2.6
2021-01-01 10:00:00,31.02,390,9389.98,421,2.6
2021-01-01 11:00:00,31.00,390,9389.73,421,2.6
2021-01-01 12:00:00,30.99,390,9389.54,421,2.6
2021-01-01 13:00:00,30.98,390,9389.33,421,2.6
2021-01-01 14:00:00,30.97,390,9389.16,421,2.6
2021-01-01 15:00:00,30.96,390,9388.99,421,2.6
2021-01-01 16:00:00,30.96,390,9388.86,421,2.6
2021-01-01 17:00:00,30.95,390,9388.71,421,2.6
2021-01-01 18:00:00,30.95,390,9388.60,421,2.6
2021-01-01 19:00:00,30.94,390,9388.47,421,2.6
2021-01-01 20:00:00,30.94,390,9388.38,421,2.6
2021-01-01 21:00:00,30.93,390,9388.30,421,2.6
2021-01-01 22:00:00,30.93,390,9388.16,421,2.6
2021-01-01 23:00:00,30.92,390,9388.04,421,2.6
2021-01-02 0:00:00,30.92,390,9387.95,421,2.6
2021-01-02 1:00:00,30.92,390,9387.86,421,2.6
2021-01-02 2:00:00,30.92,390,9387.76,421,2.6
2021-01-02 3:00:00,30.91,390,9387.67,421,2.6
2021-01-02 4:00:00,30.91,390,9387.57,421,2.6
2021-01-02 5:00:00,30.91,390,9387.48,421,2.6
2021-01-02 6:00:00,30.91,390,9387.38,421,2.6
2021-01-02 7:00:00,30.91,390,9387.30,421,2.6
2021-01-02 8:00:00,30.90,390,9387.24,421,2.6
2021-01-02 9:00:00,30.90,390,9387.17,421,2.6
2021-01-02 10:00:00,30.90,390,9387.09,421,2.6
2021-01-02 11:00:00,30.90,390,9387.01,421,2.6
2021-01-02 12:00:00,30.90,390,9386.94,421,2.6
2021-01-02 13:00:00,30.90,390,9386.87,421,2.6
2021-01-02 14:00:00,30.89,390,9386.80,421,2.6
2021-01-02 15:00:00,30.89,390,9386.74,421,2.6
2021-01-02 16:00:00,30.89,390,9386.68,421,2.6
2021-01-02 17:00:00,30.89,390,9386.61,421,2.6
2021-01-02 18:00:00,30.89,390,9386.54,421,2.6
2021-01-02 19:00:00,30.89,390,9386.48,421,2.6
2021-01-02 20:00:00,30.89,390,9386.42,421,2.6
2021-01-02 21:00:00,30.89,390,9386.36,421,2.6
2021-01-02 22:00:00,30.89,390,9386.30,421,2.6
2021-01-02 23:00:00,30.89,390,9386.24,421,2.6
2021-01-03 0:00:00,30.89,390,9386.18,421,2.6
2021-01-03 1:00:00,30.88,390,9386.13,421,2.6
2021-01-03 2:00:00,30.88,390,9386.07,421,2.6
2021-01-03 3:00:00,30.88,390,9386.02,421,2.6
2021-01-03 4:00:00,30.88,390,9385.96,421,2.6
2021-01-03 5:00:00,30.88,390,9385.91,421,2.6
2021-01-03 6:00:00,30.88,390,9385.87,421,2.6
2021-01-03 7:00:00,30.88,390,9385.83,421,2.6
2021-01-03 8:00:00,30.88,390,9385.78,421,2.6
2021-01-03 9:00:00,30.88,390,9385.74,421,2.6
2021-01-03 10:00:00,30.88,390,9385.69,421,2.6
2021-01-03 11:00:00,30.88,390,9385.65,421,2.6
2021-01-03 12:00:00,30.88,390,9385.61,421,2.6
2021-01-03 13:00:00,30.88,390,9385.57,421,2.6
2021-01-03 14:00:00,30.88,390,9385.52,421,2.6
2021-01-03 15:00:00,30.88,390,9385.48,421,2.6
2021-01-03 16:00:00,30.88,390,9385.43,421,2.6
2021-01-03 17:00:00,30.88,390,9385.39,421,2.6
2021-01-03 18:00:00,30.88,390,9385.36,421,2.6
2021-01-03 19:00:00,30.88,390,9385.33,421,2.6
2021-01-03 20:00:00,30.88,390,9385.27,421,2.6
2021-01-03 21:00:00,30.88,390,9385.24,421,2.6
2021-01-03 22:00:00,30.87,390,9385.21,421,2.6
2021-01-03 23:00:00,30.87,390,9385.21,421,2.6
2021-01-04 0:00:00,30.84,390,7636.27,80,2.6
2021-01-04 1:00:00,30.93,390,8515.10,80,2.6
2021-01-04 2:00:00,31.89,390,8687.10,80,2.6
2021-01-04 3:00:00,32.70,390,8763.89,80,2.6
