N,Q,A,TRI,OD
31.70,390,9203.74,421,2.6
31.57,390,9338.23,421,2.6
31.39,390,9368.27,421,2.6
31.27,390,9380.56,421,2.6
31.20,390,9386.75,421,2.6
31.15,390,9389.38,421,2.6
31.11,390,9390.34,421,2.6
31.08,390,9390.54,421,2.6
31.06,390,9390.43,421,2.6
31.04,390,9390.21,421,2.6
31.02,390,9389.98,421,2.6
31.00,390,9389.73,421,2.6
30.99,390,9389.54,421,2.6
30.98,390,9389.33,421,2.6
30.97,390,9389.16,421,2.6
30.96,390,9388.99,421,2.6
30.96,390,9388.86,421,2.6
30.95,390,9388.71,421,2.6
30.95,390,9388.60,421,2.6
30.94,390,9388.47,421,2.6
30.94,390,9388.38,421,2.6
30.93,390,9388.30,421,2.6
30.93,390,9388.16,421,2.6
30.92,390,9388.04,421,2.6
30.92,390,9387.95,421,2.6
30.92,390,9387.86,421,2.6
30.92,390,9387.76,421,2.6
30.91,390,9387.67,421,2.6
30.91,390,9387.57,421,2.6
30.91,390,9387.48,421,2.6
30.91,390,9387.38,421,2.6
30.91,390,9387.30,421,2.6
30.90,390,9387.24,421,2.6
30.90,390,9387.17,421,2.6
30.90,390,9387.09,421,2.6
30.90,390,9387.01,421,2.6
30.90,390,9386.94,421,2.6
30.90,390,9386.87,421,2.6
30.89,390,9386.80,421,2.6
30.89,390,9386.74,421,2.6
30.89,390,9386.68,421,2.6
30.89,390,9386.61,421,2.6
30.89,390,9386.54,421,2.6
30.89,390,9386.48,421,2.6
30.89,390,9386.42,421,2.6
30.89,390,9386.36,421,2.6
30.89,390,9386.30,421,2.6
30.89,390,9386.24,421,2.6
30.89,390,9386.18,421,2.6
30.88,390,9386.13,421,2.6
30.88,390,9386.07,421,2.6
30.88,390,9386.02,421,2.6
30.88,390,9385.96,421,2.6
30.88,390,9385.91,421,2.6
30.88,390,9385.87,421,2.6
30.88,390,9385.83,421,2.6
30.88,390,9385.78,421,2.6
30.88,390,9385.74,421,2.6
30.88,390,9385.69,421,2.6
30.88,390,9385.65,421,2.6
30.88,390,9385.61,421,2.6
30.88,390,9385.57,421,2.6
30.88,390,9385.52,421,2.6
30.88,390,9385.48,421,2.6
30.88,390,9385.43,421,2.6
30.88,390,9385.39,421,2.6
30.88,390,9385.36,421,2.6
30.88,390,9385.33,421,2.6
30.88,390,9385.27,421,2.6
30.88,390,9385.24,421,2.6
30.87,390,9385.21,421,2.6
30.87,390,9385.21,421,2.6
30.84,390,7636.27,80,2.6
30.93,390,8515.10,80,2.6
31.89,390,8687.10,80,2.6
32.70,390,8763.89,80,2.6
33.10,390,8832.91,80,2.6
33.32,390,8881.97,80,2.6
33.46,390,8915.58,80,2.6
33.55,390,8939.80,80,2.6
33.60,390,8957.68,80,2.6
33.64,390,8970.89,80,2.6
33.66,390,8980.61,80,2.6
33.68,390,8987.96,80,2.6
33.69,390,8993.73,80,2.6
33.70,390,8998.25,80,2.6
33.71,390,9001.84,80,2.6
33.71,390,9004.68,80,2.6
33.72,390,9007.05,80,2.6
33.73,390,9009.00,80,2.6
33.74,390,9010.66,80,2.6
33.74,390,9012.08,80,2.6
33.75,390,9013.29,80,2.6
33.76,390,9014.38,80,2.6
33.77,390,9015.37,80,2.6
33.78,390,9016.25,80,2.6
33.79,390,9017.03,80,2.6
33.80,390,9017.73,80,2.6
33.81,390,9018.41,80,2.6
33.82,390,9019.07,80,2.6
33.82,390,9019.65,80,2.6
33.83,390,9020.18,80,2.6
33.84,390,9020.69,80,2.6
33.85,390,9021.19,80,2.6
33.86,390,9021.67,80,2.6
33.87,390,9022.10,80,2.6
33.88,390,9022.49,80,2.6
33.88,390,9022.87,80,2.6
33.89,390,9023.22,80,2.6
33.90,390,9023.57,80,2.6
33.91,390,9023.91,80,2.6
33.92,390,9024.21,80,2.6
33.92,390,9024.50,80,2.6
33.93,390,9024.79,80,2.6
33.94,390,9025.07,80,2.6
33.95,390,9025.32,80,2.6
33.95,390,9025.56,80,2.6
33.96,390,9025.79,80,2.6
33.97,390,9026.03,80,2.6
33.97,390,9026.25,80,2.6
33.98,390,9026.46,80,2.6
33.99,390,9026.38,80,2.6
33.99,390,9026.72,80,2.6
34.00,390,9027.10,80,2.6
34.00,390,9027.09,80,2.6
34.01,390,9027.27,80,2.6
34.02,390,9027.38,80,2.6
34.02,390,9027.50,80,2.6
34.03,390,9027.64,80,2.6
34.03,390,9027.73,80,2.6
34.04,390,9027.83,80,2.6
34.04,390,9027.93,80,2.6
34.05,390,9028.01,80,2.6
34.06,390,9028.08,80,2.6
34.06,390,9028.16,80,2.6
34.07,390,9028.22,80,2.6
34.07,390,9028.28,80,2.6
34.08,390,9028.34,80,2.6
34.08,390,9028.39,80,2.6
34.09,390,9028.42,80,2.6
34.09,390,9028.46,80,2.6
34.09,390,9028.50,80,2.6
34.10,390,9028.51,80,2.6
34.10,390,9028.56,80,2.6
34.11,390,9028.57,80,2.6
34.11,390,9028.59,80,2.6
34.12,390,9028.60,80,2.6
34.12,390,9028.62,80,2.6
34.12,390,9028.61,80,2.6
34.13,390,9028.60,80,2.6
34.13,390,9028.60,80,2.6
34.14,390,9028.59,80,2.6
34.14,390,9028.58,80,2.6
34.14,390,9028.56,80,2.6
34.15,390,9028.55,80,2.6
34.15,390,9028.53,80,2.6
34.15,390,9028.52,80,2.6
34.16,390,9028.51,80,2.6
34.16,390,9028.49,80,2.6
34.17,390,9028.47,80,2.6
34.17,390,9028.42,80,2.6
34.17,390,9028.40,80,2.6
34.18,390,9028.37,80,2.6
34.18,390,9028.34,80,2.6
34.18,390,9028.31,80,2.6
34.18,390,9028.27,80,2.6
34.19,390,9028.23,80,2.6
34.19,390,9028.19,80,2.6
34.19,390,9028.15,80,2.6
